domain	bias_rating	category	mbfc_ideo
lafayettetimes.com	right-center	fake-news	1.0
laharbornews.com	right-center	fake-news	1.0
lakecountygazette.com	right-center	fake-news	1.0
lakeregionnews.com	right-center	fake-news	1.0
laketahoesun.com	right-center	fake-news	1.0
lancastercourier.com	left	fake-news	-1.0
lansingsun.com	right-center	fake-news	1.0
larimernews.com	right-center	fake-news	1.0
lastfrontiernews.com	right-center	fake-news	1.0
lasvegascitywire.com	right-center	fake-news	1.0
lawrencereporter.com	right-center	fake-news	1.0
laxleader.com	right-center	fake-news	1.0
theleadingreport.com	extreme right	fake-news	1.0
leftaction.com	extreme left	fake-news	-1.0
legalnewsline.com	right-center	fake-news	1.0
lehighnews.org	left-center	fake-news	-1.0
lewistontimes.com	right-center	fake-news	1.0
lewrockwell.com	extreme right	fake-news	1.0
libertybell.com	extreme right	fake-news	1.0
libertyhangout.org	extreme right	fake-news	1.0
libertynews.com	right	fake-news	1.0
libertytalk.fm	far right	fake-news	1.0
libertywire.net	extreme right	fake-news	1.0
