domain	bias_rating	category	mbfc_ideo
bdnews24.com	left-center	fake-news	-1.0
beachbroadcastnews.com	extreme right	fake-news	1.0
beantowntimes.com	right-center	fake-news	1.0
beckernews.com	far right	fake-news	1.0
beforeitsnews.com	extreme right	fake-news	1.0
bjreview.com	left-center	fake-news	-1.0
bentontimes.com	right-center	fake-news	1.0
bigislandtimes.com	right-center	fake-news	1.0
bigleaguepolitics.com	extreme right	fake-news	1.0
bigskytimes.com	right-center	fake-news	1.0
billionbibles.org	right	fake-news	1.0
bipartisanreport.com	extreme left	fake-news	-1.0
bitchute.com	extreme right	fake-news	1.0
blackeyepolitics.com	extreme right	fake-news	1.0
blackgenocide.org	extreme right	fake-news	1.0
blacknews.com	left	fake-news	-1.0
blackpigeonspeaks.com	extreme right	fake-news	1.0
bloomingtonleader.com	right-center	fake-news	1.0
bluegrasstimes.com	right-center	fake-news	1.0
bluestatebluesnews.com	far right	fake-news	1.0
bluntforcetruth.com	extreme-right	fake-news	1.0
boisecitywire.com	right-center	fake-news	1.0
bongino.com	far right	fake-news	1.0
bostonbroadside.com	right	fake-news	1.0
bowlinggreentoday.com	right-center	fake-news	1.0
bossip.com	extreme left	fake-news	-1.0
bransontimes.com	right-center	fake-news	1.0
breakingchristiannews.com	extreme right	fake-news	1.0
breakingfirst.com	extreme right	fake-news	1.0
breitbart.com	right	fake-news	1.0
brevardsun.com	right-center	fake-news	1.0
bridgeporttimes.com	right-center	fake-news	1.0
bristolreporter.com	right-center	fake-news	1.0
britainfirst.org	extreme right	fake-news	1.0
buckscountystandard.com	left-center	fake-news	-1.0
buffaloledger.com	right-center	fake-news	1.0
burlingtonreview.com	right-center	fake-news	1.0
c19aspirin.com	right	fake-news	1.0
c19bromhexine.com	right	fake-news	1.0
c19budesonide.com	right	fake-news	1.0
c19colchicine.com	right	fake-news	1.0
c19curcumin.com	right	fake-news	1.0
c19ly.com	right	fake-news	1.0
c19favipiravir.com	right	fake-news	1.0
c19fluvoxamine.com	right	fake-news	1.0
c19hcq.com	right	fake-news	1.0
c19ic.com	right	fake-news	1.0
c19ivermectin.com	right	fake-news	1.0
c19melatonin.com	right	fake-news	1.0
c19mp.com	right	fake-news	1.0
c19nitazoxanide.com	right	fake-news	1.0
c19ns.com	right	fake-news	1.0
c19proxalutamide.com	right	fake-news	1.0
c19pvpi.com	right	fake-news	1.0
c19quercetin.com	right	fake-news	1.0
c19regn.com	right	fake-news	1.0
c19rmd.com	right	fake-news	1.0
c19sv.com	right	fake-news	1.0
c19vitaminc.com	right	fake-news	1.0
c19vitamind.com	right	fake-news	1.0
c19zinc.com	right	fake-news	1.0
caixinglobal.com	right-center	fake-news	1.0
caldronpool.com	extreme right	fake-news	1.0
canadafreepress.com	extreme right	fake-news	1.0
capecodledger.com	right-center	fake-news	1.0
capitaldistricttimes.com	right-center	fake-news	1.0
micapitolnews.com	right-center	fake-news	1.0
capemonews.com	right-center	fake-news	1.0
capstonereport.com	extreme right	fake-news	1.0
carbondalereporter.com	right-center	fake-news	1.0
azcatholictribune.com	right-center	fake-news	1.0
flcatholictribune.com	right-center	fake-news	1.0
micatholictribune.com	right-center	fake-news	1.0
mncatholictribune.com	right-center	fake-news	1.0
pacatholictribune.com	right-center	fake-news	1.0
wicatholictribune.com	right-center	fake-news	1.0
causeur.fr	far right	fake-news	1.0
english.cctv.com	left-center	fake-news	-1.0
cdareporter.com	right-center	fake-news	1.0
cedarrapidstoday.com	right-center	fake-news	1.0
centennialstatenews.com	right-center	fake-news	1.0
trueactivist.com	extreme left	fake-news	-1.0
centerforsecuritypolicy.org	far right	fake-news	1.0
centralbrowardnews.com	right-center	fake-news	1.0
centralcoloradonews.com	right-center	fake-news	1.0
centralfloridapost.com	far right	fake-news	1.0
centralgeorgianews.com	right-center	fake-news	1.0
centralidahotimes.com	right-center	fake-news	1.0
centraliowatimes.com	right-center	fake-news	1.0
centrallouisiananews.com	right-center	fake-news	1.0
centralmissourinews.com	right-center	fake-news	1.0
centralmontanatimes.com	right-center	fake-news	1.0
centraloctimes.com	right-center	fake-news	1.0
centralpatimes.com	left-center	fake-news	-1.0
centralstlnews.com	right-center	fake-news	1.0
chambanasun.com	right-center	fake-news	1.0
1tv.ru	right-center	fake-news	1.0
chicagocitywire.com	right-center	fake-news	1.0
chicotimes.com	right-center	fake-news	1.0
chinadaily.com.cn	left	fake-news	-1.0
cgtn.com	left-center	fake-news	-1.0
christianaction.org	extreme right	fake-news	1.0
christiansfortruth dot com	extreme right	fake-news	1.0
churchmilitant.com	extreme right	fake-news	1.0
citizengo.org	extreme right	fake-news	1.0
citizensjournal.us	right	fake-news	1.0
clarionproject.org	extreme right	fake-news	1.0
clayandbuck.com	right	fake-news	1.0
claycotimes.com	right-center	fake-news	1.0
clayreporter.com	right-center	fake-news	1.0
cloverchronicle.com	extreme right	fake-news	1.0
cnsnews.com	far right	fake-news	1.0
coachellatoday.com	right-center	fake-news	1.0
coastalganews.com	right-center	fake-news	1.0
cobbnewsga.com	left-center	fake-news	-1.0
cobbreporter.com	right-center	fake-news	1.0
coconinonews.com	right-center	fake-news	1.0
columbiamonews.com	right-center	fake-news	1.0
