topic	word	if_reasonable_yijing
civil_rights	racial	2.0
civil_rights	racialist	2.0
civil_rights	racism	2.0
civil_rights	racist	2.0
civil_rights	semite	2.0
civil_rights	supremacist	2.0
civil_rights	vote	2.0
civil_rights	voter	2.0
civil_rights	voting	2.0
civil_rights	white	1.0
civil_rights	liberty	2.0
civil_rights	kkk	2.0
civil_rights	jewish	1.0
agriculture	farmer	2.0
agriculture	feed	2.0
agriculture	field	2.0
agriculture	fish	2.0
agriculture	food	2.0
agriculture	grocery	2.0
agriculture	meat	2.0
agriculture	pork	2.0
agriculture	supermarket	2.0
agriculture	swine	2.0
agriculture	tyson	2.0
civil_rights	abortion	2.0
civil_rights	african	2.0
civil_rights	american	1.0
civil_rights	apartments	1.0
civil_rights	bigotry	2.0
civil_rights	black	2.0
civil_rights	blacks	2.0
civil_rights	church	1.0
civil_rights	civil	2.0
civil_rights	detroit	1.0
civil_rights	discriminate	1.0
civil_rights	discrimination	2.0
civil_rights	disparity	2.0
civil_rights	father	1.0
civil_rights	freedom	2.0
civil_rights	guns	2.0
civil_rights	holocaust	2.0
civil_rights	jew	1.0
defence	navy	2.0
defence	nuclear	2.0
defence	nuke	2.0
environment	nature	2.0
foreign_trade	china	1.0
foreign_trade	deals	1.0
foreign_trade	export	2.0
foreign_trade	factories	1.0
foreign_trade	nafta	2.0
foreign_trade	tariff	2.0
foreign_trade	tpp	2.0
foreign_trade	trade	2.0
forestry	wood	2.0
government_ops	amendment	2.0
government_ops	ballot	2.0
government_ops	bill	2.0
government_ops	bipartisan	2.0
government_ops	campaign	2.0
government_ops	capitol	2.0
government_ops	cdc	2.0
government_ops	congress	2.0
government_ops	congressional	2.0
government_ops	congressman	2.0
government_ops	congresswoman	2.0
government_ops	conservative	2.0
government_ops	constituent	2.0
government_ops	constitution	2.0
government_ops	constitutional	2.0
environment	temperature	2.0
environment	environment	2.0
defence	nukes	2.0
environment	climate	2.0
election_campaign	party	1.0
election_campaign	paul	2.0
election_campaign	pence	2.0
election_campaign	pick	1.0
election_campaign	prep	2.0
election_campaign	preparation	2.0
election_campaign	prepare	1.0
election_campaign	president	1.0
election_campaign	presidential	1.0
election_campaign	reframe	2.0
election_campaign	regret	1.0
election_campaign	republican	1.0
election_campaign	reset	2.0
election_campaign	run	1.0
election_campaign	ryan	2.0
election_campaign	sanders	2.0
election_campaign	staff	1.0
election_campaign	stage	2.0
election_campaign	ted	2.0
election_campaign	tim	2.0
election_campaign	virginia	2.0
election_campaign	vp	2.0
election_campaign	watched	2.0
election_campaign	young	1.0
election_campaign	zack	2.0
energy	energy	2.0
energy	fuel	2.0
energy	gas	2.0
energy	oil	2.0
government_ops	court	2.0
government_ops	democrat	2.0
government_ops	democratic	2.0
government_ops	elect	2.0
government_ops	senator	2.0
government_ops	statewide	2.0
government_ops	taxpayer	2.0
government_ops	treasury	2.0
agriculture	farm	2.0
government_ops	vote	2.0
government_ops	voter	2.0
government_ops	voting	2.0
healthcare	allergy	2.0
healthcare	ambulance	2.0
healthcare	antibiotic	2.0
healthcare	arm	2.0
healthcare	blood	2.0
healthcare	body	2.0
healthcare	brain	2.0
healthcare	cancer	2.0
healthcare	cardiac	2.0
healthcare	cdc	2.0
healthcare	chest	2.0
healthcare	chronic	2.0
healthcare	clinical	2.0
healthcare	contagion	2.0
healthcare	contagious	2.0
healthcare	corona	2.0
healthcare	cough	2.0
healthcare	covid	2.0
healthcare	cure	2.0
healthcare	depression	2.0
healthcare	diabetes	2.0
government_ops	senate	2.0
government_ops	sba	2.0
government_ops	republican	2.0
government_ops	liberal	2.0
government_ops	election	2.0
government_ops	fda	2.0
government_ops	federal	2.0
government_ops	fema	2.0
government_ops	gop	2.0
government_ops	government	2.0
government_ops	governor	2.0
government_ops	hhs	2.0
government_ops	impeachment	2.0
government_ops	judge	2.0
government_ops	lawmaker	2.0
government_ops	legislation	2.0
government_ops	legislature	2.0
government_ops	mail	2.0
government_ops	representative	2.0
government_ops	nominee	2.0
government_ops	oversight	2.0
government_ops	partisan	2.0
government_ops	penny	2.0
government_ops	pentagon	2.0
government_ops	politician	2.0
government_ops	politics	2.0
government_ops	ppp	2.0
government_ops	presidency	2.0
government_ops	president	2.0
government_ops	reelection	2.0
government_ops	regulation	2.0
government_ops	regulatory	2.0
election_campaign	nominee	2.0
election_campaign	nomination	2.0
election_campaign	national	1.0
economy	mortgage	2.0
economy	economic	2.0
economy	economically	2.0
economy	economics	2.0
economy	economist	2.0
economy	economy	2.0
economy	employ	2.0
economy	employer	2.0
economy	employment	2.0
economy	factories	1.0
economy	factory	1.0
economy	financial	2.0
economy	financially	2.0
economy	fiscal	2.0
economy	gdp	2.0
economy	growth	2.0
economy	hire	2.0
economy	income	2.0
economy	invest	2.0
economy	investment	2.0
economy	investor	2.0
economy	job	2.0
economy	jobless	2.0
economy	jobs	2.0
economy	loan	2.0
